Date,Obs_Disc,Sim_Disc,,,
4/1/2010,9,0.00,,,
4/2/2010,8.93,0.00,,,
4/3/2010,8.6,0.00,,,
4/4/2010,8.4,0.00,,,
4/5/2010,8.4,0.00,,,
4/6/2010,8.27,0.00,,,
4/7/2010,8.27,0.00,,,
4/8/2010,8,0.00,,,
4/9/2010,8.07,0.00,,,
4/10/2010,8.2,0.00,,,
4/11/2010,8.07,0.00,,,
4/12/2010,8,0.00,,,
4/13/2010,8.2,0.02,,,
4/14/2010,8.13,0.00,,,
4/15/2010,8,0.08,,,
4/16/2010,11,0.02,,,
4/17/2010,9.93,0.03,,,
4/18/2010,9.35,0.01,,,
4/19/2010,15.3,0.01,,,
4/20/2010,11.1,0.01,,,
4/21/2010,10.2,0.00,,,
4/22/2010,9.7,0.00,,,
4/23/2010,9.12,0.00,,,
4/24/2010,8.8,0.00,,,
4/25/2010,8.8,0.00,,,
4/26/2010,8.6,0.00,,,
4/27/2010,8.4,0.00,,,
4/28/2010,8.2,0.00,,,
4/29/2010,9,0.22,,,
4/30/2010,9.58,0.04,,,
5/1/2010,9.12,1.07,,,
5/2/2010,14,0.15,,,
5/3/2010,11.1,0.07,,,
5/4/2010,10.1,0.03,,,
5/5/2010,34.4,0.28,,,
5/6/2010,16.5,0.17,,,
5/7/2010,13,0.20,,,
5/8/2010,11.7,1.01,,,
5/9/2010,20.4,0.15,,,
5/10/2010,13.9,0.07,,,
5/11/2010,11.3,0.03,,,
5/12/2010,10.4,0.02,,,
5/13/2010,9.58,0.01,,,
5/14/2010,9,0.01,,,
5/15/2010,8.8,0.01,,,
5/16/2010,8.6,0.15,,,
5/17/2010,11.4,0.36,,,
5/18/2010,10.5,1.67,,,
5/19/2010,9.58,0.64,,,
5/20/2010,53.8,0.83,,,
5/21/2010,17,0.14,,,
5/22/2010,12.6,0.06,,,
5/23/2010,11.8,3.04,,,
5/24/2010,23.8,0.31,,,
5/25/2010,15.9,0.10,,,
5/26/2010,11.7,0.05,,,
5/27/2010,39.7,1.08,,,
5/28/2010,23.7,0.16,,,
5/29/2010,21.9,0.07,,,
5/30/2010,31.1,0.19,,,
5/31/2010,14.8,0.05,,,
6/1/2010,11.9,0.03,,,
6/2/2010,11.6,0.13,,,
6/3/2010,15.3,4.57,,,
6/4/2010,64.7,0.39,,,
6/5/2010,20,1.26,,,
6/6/2010,16.2,0.20,,,
6/7/2010,12.3,0.08,,,
6/8/2010,11.9,0.04,,,
6/9/2010,9.17,0.02,,,
6/10/2010,11,0.01,,,
6/11/2010,11.1,0.06,,,
6/12/2010,43.9,0.02,,,
6/13/2010,42.5,0.03,,,
6/14/2010,85.5,0.31,,,
6/15/2010,38.6,0.06,,,
6/16/2010,33.5,6.38,,,
6/17/2010,261,0.50,,,
6/18/2010,51.7,5.13,,,
6/19/2010,250,7.72,,,
6/20/2010,288,0.71,,,
6/21/2010,101,11.20,,,
6/22/2010,172,0.87,,,
6/23/2010,83.3,0.19,,,
6/24/2010,47.3,2.37,,,
6/25/2010,51.5,0.42,,,
6/26/2010,50.2,1.60,,,
6/27/2010,61,0.47,,,
6/28/2010,52.3,0.13,,,
6/29/2010,48.1,1.34,,,
6/30/2010,78.1,0.20,,,
7/1/2010,43.7,3.07,,,
7/2/2010,81.5,0.53,,,
7/3/2010,87.8,0.97,,,
7/4/2010,80.7,0.94,,,
7/5/2010,183,6.27,,,
7/6/2010,229,1.05,,,
7/7/2010,148,0.21,,,
7/8/2010,134,2.36,,,
7/9/2010,210,7.09,,,
7/10/2010,642,2.97,,,
7/11/2010,180,7.11,,,
7/12/2010,989,8.21,,,
7/13/2010,1086,0.74,,,
7/14/2010,184,0.28,,,
7/15/2010,133,3.52,,,
7/16/2010,467,0.55,,,
7/17/2010,149,8.96,,,
7/18/2010,460,7.85,,,
7/19/2010,208,1.02,,,
7/20/2010,277,20.01,,,
7/21/2010,364,33.81,,,
7/22/2010,196,147.17,,,
7/23/2010,181,158.91,,,
7/24/2010,120,135.71,,,
7/25/2010,110,113.44,,,
7/26/2010,118,95.32,,,
7/27/2010,102,80.91,,,
7/28/2010,92.8,69.11,,,
7/29/2010,102,65.13,,,
7/30/2010,113,68.09,,,
7/31/2010,160,76.93,,,
8/1/2010,260,91.16,,,
8/2/2010,139,97.85,,,
8/3/2010,122,94.66,,,
8/4/2010,133,84.53,,,
8/5/2010,123,72.75,,,
8/6/2010,119,61.76,,,
8/7/2010,98.3,52.28,,,
8/8/2010,103,44.31,,,
8/9/2010,103,51.56,,,
8/10/2010,384,61.71,,,
8/11/2010,155,71.94,,,
8/12/2010,139,83.78,,,
8/13/2010,200,106.76,,,
8/14/2010,300,128.27,,,
8/15/2010,204,135.10,,,
8/16/2010,214,131.80,,,
8/17/2010,166,156.56,,,
8/18/2010,290,284.73,,,
8/19/2010,2117,378.67,,,
8/20/2010,418,342.26,,,
8/21/2010,231,344.53,,,
8/22/2010,239,349.88,,,
8/23/2010,1792,303.60,,,
8/24/2010,2205,281.07,,,
8/25/2010,545,319.92,,,
8/26/2010,409,542.45,,,
8/27/2010,1462,632.66,,,
8/28/2010,509,452.73,,,
8/29/2010,400,305.69,,,
8/30/2010,182,216.78,,,
8/31/2010,184,,,,
